Gene.name;AIREdep
Ndufs5;no
Myh8;no
Pth;no
Gkn2;no
Oxt;no
Hba-x;no
Foxn4;no
Ins1;no
Alppl2;no
Trpm8;no
Ppy;no
Trh;no
Hsd3b9;no
Angpt4;no
Slc6a1;no
Fgf4;no
Lefty2;yes
Sbpl;yes
Reg3b;no
Acsm4;no
Bpifb4;no
Serpina3a;no
Klf17;no
Cma1;no
Oc90;no
Crx;no
Ambn;no
Car1;no
Ctsg;no
Gcm2;no
Bpifb3;no
Otor;no
Ceacam15;no
Gzme;no
Tpsab1;no
Obp2a;no
Calb2;yes
Gkn1;no
Prl;no
Pcp2;no
Slc45a2;no
Hbb-y;no
Hsd17b3;no
Ms4a3;no
Fgf3;no
Sbpl;no
Efcab6;no
Tac2;yes
R3hdml;no
Gpr101;no
Prr9;no
Opalin;no
Tectb;no
Pde6b;no
Slc5a2;no
Gys2;no
Cfap221;no
Ptx4;no
Amd2;no
Cytl1;yes
Vip;no
Clec3a;no
Pate4;no
Lyg2;no
Crabp1;yes
Nanog;no
Bhlha9;no
Pnlip;no
Gzme;yes
Serpinb13;no
Mip;no
Sst;yes
Obp2a;no
Il9;no
Oas1e;yes
Sohlh1;no
Crhr2;no
Sp7;no
Pgc;yes
Aard;no
Pmfbp1;no
Cela3a;no
Tcl1;no
Foxl1;no
Sftpc;no
Mcidas;yes
Crybb2;no
Tacr2;no
Pfpl;no
Tdpoz8;no
Mmd2;no
Crygs;no
Cdh16;no
Gip;yes
Gm5724;no
Nts;yes
Fmo4;no
Myoz3;no
Mmp1a;no
Mrgpra6;no
Hoxb13;yes
Slc6a12;no
Fgb;yes
Nppa;yes
Opn4;no
Mrgprd;no
Crh;no
Nrsn2;no
Tmem92;no
Cyp1a2;yes
Accsl;no
Cnn1;no
Muc5b;yes
Atp2b3;no
Aipl1;yes
Muc5ac;yes
Ms4a2;no
Avp;no
Tmem207;no
Pla2g1b;yes
Il24;no
Esr2;no
Lcn10;yes
Pnoc;no
Crisp3;yes
Galp;no
Gal;yes
Necab2;no
Cuzd1;yes
Dusp26;no
Pnliprp1;no
Acan;yes
Tldc2;no
Fam47e;no
Abcb5;no
Fam90a1a;no
Kcnk16;no
Hrh4;no
Olfr78;no
Itgad;no
Tmprss11a;no
Clec4f;yes
Tdpoz8;no
Shbg;no
Krt35;no
Nkx2-9;no
Gje1;no
Spata18;no
Prlhr;no
Cryaa;yes
Ptpn5;yes
Ldhc;no
Defb23;no
Myl3;yes
Tspo2;no
Ppbp;yes
Trpv5;no
Uts2;no
Nlrp4f;no
Scgn;yes
Tpo;no
Mpo;yes
Ccer2;yes
Tph2;no
Tmem178;no
Kcne2;yes
Plin1;no
Asb9;no
Htr3a;no
Gm5724;no
Klk12;no
Atp1b4;no
Tff3;yes
Ftcd;no
Gm12695;no
Clgn;no
Lctl;no
Rd3l;no
Folh1;no
Gjd3;no
Padi6;yes
Slc5a4b;no
Agtr2;yes
Il17b;yes
Olfr464;no
Adh7;yes
Gpr83;no
Zp3;yes
Lyg1;no
Lcn8;yes
Igfn1;yes
Mybpc3;yes
Oas1e;yes
Neurog3;no
Mrgpra6;no
Tmc2;no
Fam71f1;no
Cd207;yes
Pnma3;no
Spp2;yes
Slc13a5;no
Olfr222;no
Th;yes
Treml1;no
Scrg1;no
Tmem52b;no
Glyatl3;no
Slc6a11;yes
Astl;no
Asb15;no
Ppp3r2;no
Cndp1;no
Ttc34;no
Tyrp1;no
Cyp4a30b;no
Mepe;no
Zdhhc11;no
Krtap3-1;no
Pou1f1;no
Gpr12;no
Cd163;no
Slc30a8;no
Bank1;no
Rpe65;no
Cpz;yes
Bpifb6;yes
Krt73;yes
Dhrs2;yes
Myh3;yes
Rpl3l;no
Rph3a;yes
Psca;yes
Glod5;no
Chrdl2;no
Krt27;no
Tmem213;no
Myoc;yes
Retnlb;yes
Slc6a18;no
Sim2;no
Cd5l;yes
Cdk15;no
Lrtm1;no
Ren1;no
Rln3;yes
Htr5a;no
Xcl1;yes
Tmem179;no
Fgg;yes
Cyp4f18;yes
Aqp12;no
Nkx2-2;no
Ak8;yes
Pkd1l2;yes
Glra1;no
Dnajc5b;no
Adad2;no
Ms4a6c;yes
Cyp1a1;no
Itgb2l;no
Khdc1a;yes
Oosp2;no
Eddm3b;no
Sox1;no
Trim10;yes
Kng2;yes
Slc1a6;no
Tbx19;no
Krt36;yes
Prss57;no
a;no
Slc7a14;no
Fam151a;yes
Gzme;no
Rfx4;yes
4921504E06Rik;no
Slurp2;yes
Grm2;no
Dcstamp;no
Ucn;no
Gm17455;no
Nags;no
Otoa;yes
Prl;no
Ces4a;yes
Gldc;yes
